Date ,Meter,Date
2022-12-22 00:00:00+00:00,28620.0,2022-12-22 00:00:00
2023-01-01 00:00:00+00:00,28781.0,2023-01-01 00:00:00
2023-01-08 00:00:00+00:00,28896.0,2023-01-08 00:00:00
2023-01-10 00:00:00+00:00,28907.0,2023-01-10 00:00:00
2023-01-19 00:00:00+00:00,29052.0,2023-01-19 00:00:00
2023-01-20 00:00:00+00:00,29058.0,2023-01-20 00:00:00
2023-01-21 00:00:00+00:00,29079.0,2023-01-21 00:00:00
2023-01-23 00:00:00+00:00,29113.0,2023-01-23 00:00:00
2023-01-25 00:00:00+00:00,29148.0,2023-01-25 00:00:00
2023-01-27 00:00:00+00:00,29182.0,2023-01-27 00:00:00
2023-01-30 00:00:00+00:00,29227.0,2023-01-30 00:00:00
2023-02-01 00:00:00+00:00,29256.0,2023-02-01 00:00:00
2023-02-05 00:00:00+00:00,29319.0,2023-02-05 00:00:00
2023-02-07 00:00:00+00:00,29334.0,2023-02-07 00:00:00
2023-02-08 00:00:00+00:00,29334.0,2023-02-08 00:00:00
2023-02-09 00:00:00+00:00,29341.0,2023-02-09 00:00:00
2023-02-11 00:00:00+00:00,29355.0,2023-02-11 00:00:00
2023-02-13 16:25:27+00:00,29375.0,2023-02-13 16:25:27
2023-02-15 07:54:10+00:00,29381.0,2023-02-15 07:54:10
2023-02-20 09:35:47+00:00,29443.0,2023-02-20 09:35:47
2023-02-26 15:38:05+00:00,29500.0,2023-02-26 15:38:05
2023-02-27 07:48:34+00:00,29512.0,2023-02-27 07:48:34
2023-02-27 18:19:52+00:00,29503.0,2023-02-27 18:19:52
2023-02-28 08:02:30+00:00,29512.0,2023-02-28 08:02:30
2023-02-28 18:15:47+00:00,29502.0,2023-02-28 18:15:47
2023-03-01 07:49:17+00:00,29511.0,2023-03-01 07:49:17
2023-03-02 07:54:47+00:00,29512.0,2023-03-02 07:54:47
2023-03-03 07:50:28+00:00,29503.0,2023-03-03 07:50:28
2023-03-04 09:30:12+00:00,29512.0,2023-03-04 09:30:12
2023-03-05 09:52:56+00:00,29523.0,2023-03-05 09:52:56
2023-03-07 07:51:55+00:00,29542.0,2023-03-07 07:51:55
2023-03-08 08:27:35+00:00,29555.0,2023-03-08 08:27:35
2023-03-12 09:34:37+00:00,29603.0,2023-03-12 09:34:37
2023-03-15 07:57:35+00:00,29609.0,2023-03-15 07:57:35
2023-03-16 08:03:13+00:00,29603.0,2023-03-16 08:03:13
2023-03-17 08:18:01+00:00,29601.0,2023-03-17 08:18:01
2023-03-18 08:30:50+00:00,29598.0,2023-03-18 08:30:50
2023-03-19 07:57:01+00:00,29595.0,2023-03-19 07:57:01
2023-03-20 08:17:09+00:00,29605.0,2023-03-20 08:17:09
2023-03-22 12:06:49+00:00,29622.0,2023-03-22 12:06:49
2023-03-24 08:58:06+00:00,29631.0,2023-03-24 08:58:06
2023-03-25 10:37:14+00:00,29633.0,2023-03-25 10:37:14
2023-03-27 08:18:26+00:00,29641.0,2023-03-27 08:18:26
2023-03-28 08:36:14+00:00,29635.0,2023-03-28 08:36:14
2023-03-29 12:27:16+00:00,29637.0,2023-03-29 12:27:16
2023-03-30 08:04:24+00:00,29648.0,2023-03-30 08:04:24
2023-03-31 08:03:20+00:00,29638.0,2023-03-31 08:03:20
2023-04-01 08:42:01+00:00,29648.0,2023-04-01 08:42:01
2023-04-03 07:54:14+00:00,29653.0,2023-04-03 07:54:14
2023-04-04 07:40:49+00:00,29637.0,2023-04-04 07:40:49
2023-04-05 07:02:49+00:00,29617.0,2023-04-05 07:02:49
2023-04-06 07:47:29+00:00,29608.0,2023-04-06 07:47:29
2023-04-07 07:43:12+00:00,29613.0,2023-04-07 07:43:12
2023-04-09 08:24:41+00:00,29610.0,2023-04-09 08:24:41
2023-04-10 08:14:19+00:00,29603.0,2023-04-10 08:14:19
2023-04-11 07:44:44+00:00,29612.0,2023-04-11 07:44:44
2023-04-12 07:32:04+00:00,29596.0,2023-04-12 07:32:04
2023-04-13 07:52:48+00:00,29593.0,2023-04-13 07:52:48
2023-04-14 07:26:31+00:00,29588.0,2023-04-14 07:26:31
2023-04-15 09:06:53+00:00,29576.0,2023-04-15 09:06:53
2023-04-17 07:53:57+00:00,29572.0,2023-04-17 07:53:57
2023-04-18 07:54:16+00:00,29565.0,2023-04-18 07:54:16
2023-04-19 07:29:25+00:00,29560.0,2023-04-19 07:29:25
2023-04-20 07:39:54+00:00,29542.0,2023-04-20 07:39:54
2023-04-21 07:18:44+00:00,29543.0,2023-04-21 07:18:44
2023-04-22 08:56:53+00:00,29540.0,2023-04-22 08:56:53
2023-04-23 07:50:41+00:00,29542.0,2023-04-23 07:50:41
2023-04-24 07:35:45+00:00,29538.0,2023-04-24 07:35:45
2023-04-25 07:34:59+00:00,29537.0,2023-04-25 07:34:59
2023-04-26 07:37:42+00:00,29524.0,2023-04-26 07:37:42
2023-04-27 07:32:29+00:00,29529.0,2023-04-27 07:32:29
2023-04-28 10:23:11+00:00,29510.0,2023-04-28 10:23:11
2023-04-30 08:11:59+00:00,29502.0,2023-04-30 08:11:59
2023-05-01 08:02:28+00:00,29488.0,2023-05-01 08:02:28
2023-05-03 07:52:53+00:00,29471.0,2023-05-03 07:52:53
2023-05-04 08:03:12+00:00,29452.0,2023-05-04 08:03:12
2023-05-05 07:46:45+00:00,29429.0,2023-05-05 07:46:45
2023-05-07 11:45:37+00:00,29410.0,2023-05-07 11:45:37
2023-05-08 08:26:43+00:00,29402.0,2023-05-08 08:26:43
2023-05-09 08:12:33+00:00,29396.0,2023-05-09 08:12:33
2023-05-13 08:28:04+00:00,29382.0,2023-05-13 08:28:04
2023-05-14 12:51:31+00:00,29346.0,2023-05-14 12:51:31
2023-05-15 08:10:48+00:00,29334.0,2023-05-15 08:10:48
2023-05-16 07:59:48+00:00,29333.0,2023-05-16 07:59:48
2023-05-17 08:16:41+00:00,29319.0,2023-05-17 08:16:41
2023-05-18 07:44:54+00:00,29296.0,2023-05-18 07:44:54
2023-05-21 08:08:54+00:00,29222.0,2023-05-21 08:08:54
2023-05-22 07:43:12+00:00,29208.0,2023-05-22 07:43:12
2023-05-23 08:28:11+00:00,29189.0,2023-05-23 08:28:11
2023-05-24 08:46:33+00:00,29172.0,2023-05-24 08:46:33
2023-05-25 07:34:10+00:00,29161.0,2023-05-25 07:34:10
2023-05-26 07:49:50+00:00,29142.0,2023-05-26 07:49:50
2023-05-27 08:17:50+00:00,29117.0,2023-05-27 08:17:50
2023-05-28 08:56:31+00:00,29092.0,2023-05-28 08:56:31
2023-05-29 07:49:30+00:00,29070.0,2023-05-29 07:49:30
2023-05-30 08:04:40+00:00,29045.0,2023-05-30 08:04:40
2023-05-31 07:42:24+00:00,29024.0,2023-05-31 07:42:24
2023-06-01 07:41:48+00:00,28997.0,2023-06-01 07:41:48
2023-06-02 09:54:55+00:00,28979.0,2023-06-02 09:54:55
2023-06-03 09:12:24+00:00,28968.0,2023-06-03 09:12:24
2023-06-04 09:33:52+00:00,28944.0,2023-06-04 09:33:52
2023-06-05 08:04:22+00:00,28921.0,2023-06-05 08:04:22
